 logMs  MeanlogMh SD           Minimum Maximum nGood 
  9.00  11.160968 0.009686116  11.1033 11.1927 300001
  9.10  11.209227 0.0091797635 11.1551 11.2345 300001
  9.20  11.253743 0.00867875   11.204  11.2817 300001
  9.30  11.299044 0.00838714   11.2514 11.3202 300001
  9.40  11.340303 0.0071296454 11.2977 11.3661 300001
  9.50  11.384834 0.007533625  11.3436 11.4027 300001
  9.60  11.425829 0.005710003  11.3897 11.4472 300001
  9.70  11.470955 0.006269287  11.4366 11.4871 300001
  9.80  11.51488  0.0047761938 11.485  11.5305 300001
  9.90  11.562793 0.0048954426 11.5355 11.5776 300001
  10.00 11.61244  0.0041301213 11.589  11.6273 300001
  10.10 11.666719 0.0040246323 11.6459 11.6813 300001
  10.20 11.725345 0.0037511042 11.7074 11.7402 300001
  10.30 11.790311 0.0036961199 11.774  11.8049 300001
  10.40 11.862198 0.0035896588 11.847  11.8765 300001
  10.50 11.942577 0.0035599053 11.9276 11.9559 300001
  10.60 12.032471 0.0036132291 12.0173 12.0448 300001
  10.70 12.133092 0.0038822447 12.1167 12.146  300001
  10.80 12.245554 0.0044188956 12.2256 12.2603 300001
  10.90 12.370982 0.0051873173 12.3463 12.3883 300001
  11.00 12.510591 0.006155849  12.4801 12.5312 300001
  11.10 12.665669 0.0074008205 12.6283 12.6907 300001
  11.20 12.837392 0.009130847  12.792  12.867  300001
  11.30 13.026262 0.011587503  12.9715 13.0643 300001
  11.40 13.231187 0.014908428  13.1594 13.2809 300001
  11.50 13.448566 0.019110527  13.3543 13.5123 300001
  11.60 13.672    0.02417509   13.5522 13.7525 300001
  11.70 13.893149 0.03001799   13.7472 13.9945 300001
  11.80 14.103506 0.036421753  13.9301 14.2348 300001
  11.90 14.296191 0.043384198  14.0947 14.4634 300001
  12.00 14.467313 0.052184198  14.2389 14.6752 300001
