 logMs  MeanlogMh SD           Minimum Maximum nGood 
  9.00  11.144703 0.016545855 11.0628 11.2042 300001
  9.10  11.192542 0.01707884  11.1094 11.2499 300001
  9.20  11.236322 0.01770103  11.1542 11.2964 300001
  9.30  11.281476 0.018445797 11.1977 11.3362 300001
  9.40  11.32191  0.018270807 11.2371 11.3847 300001
  9.50  11.366164 0.01978603  11.281  11.4208 300001
  9.60  11.405934 0.018823227 11.3168 11.4712 300001
  9.70  11.449941 0.020699775 11.359  11.5078 300001
  9.80  11.491596 0.019762563 11.3993 11.5569 300001
  9.90  11.536515 0.021266587 11.4406 11.5976 300001
  10.00 11.5816   0.020895625 11.4853 11.6464 300001
  10.10 11.629588 0.021908648 11.5296 11.6937 300001
  10.20 11.679504 0.022036785 11.5784 11.7462 300001
  10.30 11.733026 0.02278003  11.6286 11.8009 300001
  10.40 11.790065 0.023239024 11.6833 11.8599 300001
  10.50 11.851994 0.023903122 11.7418 11.9236 300001
  10.60 11.919487 0.024588015 11.8059 11.9936 300001
  10.70 11.993785 0.025382439 11.8762 12.0714 300001
  10.80 12.076137 0.026351564 11.9541 12.1582 300001
  10.90 12.167949 0.027622232 12.0406 12.2605 300001
  11.00 12.270751 0.0294332   12.134  12.3766 300001
  11.10 12.386203 0.032174118 12.2367 12.5088 300001
  11.20 12.51617  0.036407404 12.3463 12.6596 300001
  11.30 12.662827 0.04280875  12.4667 12.8322 300001
  11.40 12.828647 0.051988553 12.5998 13.029  300001
  11.50 13.015996 0.06414662  12.7479 13.258  300001
  11.60 13.225971 0.07858914  12.9085 13.5162 300001
  11.70 13.456618 0.09348818  13.086  13.7884 300001
  11.80 13.701597 0.10651479  13.2571 14.062  300001
  11.90 13.9509   0.11618378  13.4018 14.3254 300001
  12.00 14.193705 0.12267569  13.5418 14.5734 300001
