 logMs  MeanlogMh SD           Minimum Maximum nGood 
  9.00  11.310406  0.057479847 11.0801 11.5069 300001
  9.10  11.336899  0.05545392  11.116  11.5286 300001
  9.20  11.364541  0.05331769  11.1533 11.551  300001
  9.30  11.393564  0.05106404  11.1924 11.5743 300001
  9.40  11.424237  0.04868989  11.2336 11.5988 300001
  9.50  11.456888  0.046196535 11.277  11.6246 300001
  9.60  11.4918995 0.043591663 11.3232 11.6522 300001
  9.70  11.52973   0.0408898   11.3725 11.6819 300001
  9.80  11.570917  0.038113516 11.4252 11.7145 300001
  9.90  11.616083  0.035292115 11.4821 11.7505 300001
  10.00 11.665941  0.032454684 11.5425 11.7907 300001
  10.10 11.721291  0.029627677 11.6078 11.8362 300001
  10.20 11.783012  0.026828976 11.6795 11.8877 300001
  10.30 11.852059  0.024071014 11.7589 11.9462 300001
  10.40 11.929439  0.021367365 11.8467 12.013  300001
  10.50 12.016188  0.018743169 11.9441 12.0891 300001
  10.60 12.113341  0.016241055 12.0518 12.1764 300001
  10.70 12.221893  0.013929709 12.1696 12.2758 300001
  10.80 12.342773  0.011914406 12.2963 12.3876 300001
  10.90 12.476811  0.010360788 12.4331 12.5149 300001
  11.00 12.624722  0.009522067 12.5822 12.6585 300001
  11.10 12.787013  0.009676992 12.7426 12.8204 300001
  11.20 12.963814  0.01095826  12.9145 13.001  300001
  11.30 13.154581  0.013301585 13.0964 13.2025 300001
  11.40 13.357673  0.016642299 13.2848 13.4176 300001
  11.50 13.570004  0.021021929 13.4742 13.6443 300001
  11.60 13.786894  0.02654537  13.6629 13.8787 300001
  11.70 14.002448  0.033192962 13.8477 14.1161 300001
  11.80 14.210488  0.04069721  14.024  14.3513 300001
  11.90 14.405725  0.04856683  14.1886 14.5777 300001
  12.00 14.584703  0.056177013 14.34   14.7896 300001
