ra_low,ra_high,dec_low,dec_high
130,140,62,66
157,169,62,66
144,155,52,56
230,239,52,56
206,213,48,52
121,130,41,45
222,230,40,44
152,158,28,30
162,166,27,30
140,145,24,27
233,237,10,13
192,197,-2,1
120,135,-1,5
145,159,-2,1
237,252,-3,1
115,118,26,29
206,239,0.9,1.4
206,239,-1.2,-0.7
229,239,-0.7,0.9
168.1,190.8,6,8.9
185,187.4,3.8,6
161.9,164.7,8.1,10.6
239.8,243.6,19.2,20.6
239.8,245.4,18.3,19.2
242,245.4,17,18.3
243.2,246.7,49.4,51.3
227.5,237,1.4,3
255.2,258,36.2,38.4
230.4,233.8,55.9,57.1
173.8,176.2,58.3,61
